,,,,,,,,,,,,,Normal fit,,,Overfit,
,chron1_train,chron1_test,chron5_train,chron5_test,chron10_train,chron10_test,shuffle1_train,shuffle1_test,shuffle5_train,shuffle5_test,shuffle10_train,shuffle10_test,max_test,max_test_idx,,max_test,max_test_idx
17,0.638949933,0.510037641,0.642885729,0.484316186,0.6466754,0.483688833,0.638894752,0.51944793,0.654696773,0.532622334,0.645463301,0.528858218,0.532622334,shuffle5_test,TRUE,0.56148055,shuffle5_test
18,0.649056362,0.501884422,0.641213145,0.481155779,0.65531119,0.481155779,0.646907358,0.520728643,0.650149558,0.515703518,0.652548923,0.516959799,0.520728643,shuffle1_test,TRUE,0.56030151,shuffle5_test
19,0.614016403,0.483830057,0.653299836,0.482561826,0.646281683,0.463538364,0.630630139,0.48763475,0.650172755,0.49587825,0.647599906,0.502219404,0.502219404,shuffle10_test,TRUE,0.53836398,shuffle5_test
20,0.581644394,0.498079385,0.632786885,0.505121639,0.638757449,0.503201024,0.648654027,0.534571063,0.649344957,0.517925736,0.648880132,0.531370038,0.534571063,shuffle1_test,TRUE,0.55889885,shuffle10_test
21,0.641064262,0.52937379,0.650981668,0.507424145,0.646625488,0.504196256,0.632381947,0.526145901,0.648094565,0.528728212,0.654184709,0.533247256,0.533247256,shuffle10_test,TRUE,0.56165268,shuffle1_test
22,0.646544834,0.526078558,0.632628773,0.517063748,0.634194053,0.508048938,0.644844473,0.534449453,0.646669249,0.546039923,0.650494478,0.538312943,0.546039923,shuffle5_test,TRUE,0.56986478,shuffle1_test
23,0.618571084,0.500977199,0.651038952,0.506188925,0.650472307,0.492508143,0.647417689,0.500977199,0.642342359,0.507491857,0.656018145,0.49771987,0.507491857,shuffle5_test,TRUE,0.52964169,shuffle1_test
24,0.583798709,0.486842105,0.646886848,0.496710526,0.634871272,0.505263158,0.621993647,0.508552632,0.651833246,0.516447368,0.653856582,0.515789474,0.516447368,shuffle5_test,TRUE,0.54342105,shuffle10_test
25,0.637169398,0.499669967,0.648264984,0.487788779,0.651843961,0.488448845,0.640160279,0.510231023,0.653136118,0.506270627,0.650092044,0.505610561,0.510231023,shuffle1_test,TRUE,0.53135314,shuffle5_test
26,0.623045442,0.473442623,0.649612997,0.466229508,0.650618343,0.464918033,0.643869133,0.486557377,0.649187771,0.49704918,0.653717715,0.485901639,0.49704918,shuffle5_test,TRUE,0.50885246,shuffle5_test
27,0.643746588,0.486074271,0.653666074,0.482758621,0.65085328,0.472148541,0.634274903,0.48806366,0.646228426,0.472811671,0.651677359,0.484748011,0.48806366,shuffle1_test,TRUE,0.51525199,shuffle1_test
28,0.608741434,0.498345467,0.632115178,0.480476506,0.644974259,0.475181999,0.645794417,0.524156188,0.636576939,0.516214428,0.654849214,0.524818001,0.524818001,shuffle10_test,TRUE,0.5393779,shuffle1_test
29,0.64273721,0.498675497,0.624609815,0.474172185,0.646170378,0.489403974,0.589763312,0.492715232,0.646664027,0.516556291,0.642180749,0.510596026,0.516556291,shuffle5_test,TRUE,0.55562914,shuffle10_test
30,0.645547005,0.507275132,0.646930551,0.491402116,0.652315159,0.491402116,0.616477495,0.51521164,0.647994715,0.517195767,0.648794251,0.510582011,0.517195767,shuffle5_test,TRUE,0.53439153,shuffle5_test
31,0.652368752,0.480267559,0.645534462,0.468896321,0.648635857,0.478929766,0.633257522,0.474916388,0.652631098,0.482274247,0.649303447,0.476923077,0.482274247,shuffle5_test,TRUE,0.51237458,shuffle1_test
32,0.644292281,0.494942684,0.648002338,0.480107889,0.647098105,0.482130816,0.637069346,0.493594066,0.650847767,0.513823331,0.648177991,0.50303439,0.513823331,shuffle5_test,TRUE,0.52596089,shuffle5_test
33,0.635668416,0.484787018,0.645973704,0.470588235,0.656463683,0.4719405,0.639239851,0.492900609,0.646525158,0.501014199,0.647719414,0.487491548,0.501014199,shuffle5_test,TRUE,0.5280595,shuffle5_test
34,0.642600148,0.511126096,0.640354699,0.494268375,0.65457753,0.498314228,0.645370354,0.517869184,0.654034795,0.515171949,0.645698355,0.516520566,0.517869184,shuffle1_test,TRUE,0.53877276,shuffle10_test
35,0.62342712,0.434753212,0.651356559,0.430020284,0.641403154,0.425963489,0.629134696,0.438810007,0.644050482,0.45300879,0.652595893,0.437457742,0.45300879,shuffle5_test,TRUE,0.46585531,shuffle1_test
36,0.628270324,0.452220727,0.639535303,0.444145357,0.642940117,0.455585464,0.642396069,0.47039031,0.643335077,0.475100942,0.642013121,0.469044415,0.475100942,shuffle5_test,TRUE,0.51345895,shuffle10_test
37,0.626618164,0.463973064,0.6277432,0.439057239,0.634117397,0.445791246,0.622076492,0.455892256,0.648492098,0.478787879,0.649731615,0.475420875,0.478787879,shuffle5_test,TRUE,0.50976431,shuffle1_test
38,0.582928782,0.456798392,0.647331079,0.4561286,0.641292221,0.451440054,0.618991245,0.472873409,0.650228319,0.484259879,0.647670037,0.48158071,0.484259879,shuffle5_test,TRUE,0.51306095,shuffle10_test
39,0.641767464,0.416893733,0.641164632,0.41280654,0.63459105,0.411444142,0.651923894,0.444822888,0.653302794,0.433923706,0.649101785,0.423024523,0.444822888,shuffle1_test,FALSE,0.44073569,shuffle5_test
