,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
std,chron5,0.033366506440559336,0.012041988070579495,0.01939841897269299,0.033366506440559336,0.033366506440559336,0.033366506440559336,0.033366506440559336,0.033366506440559336,0.033366506440559336,0.18766267698351266,0.03675632859419412,0.03336650644055933,0.026411237934032526
min,chron5,-0.5264175257731959,0.5976644301038506,0.4379179231676937,0.3608179419525066,0.3608179419525066,0.3608179419525066,0.3608179419525066,0.3608179419525066,0.3608179419525066,-1.4457899472939966,0.12392570862528285,0.4735824742268041,0.22232326965034108
25%,chron5,-0.49096979515557493,0.6332872343659599,0.4791116049480481,0.46985397122329936,0.46985397122329936,0.46985397122329936,0.46985397122329936,0.46985397122329936,0.46985397122329936,-0.7002065651901916,0.19762270348093575,0.509030204844425,0.3016501448839027
50%,chron5,-0.4826048205812018,0.6444399984836235,0.49265375853452065,0.4826048205812018,0.4826048205812018,0.4826048205812018,0.4826048205812018,0.4826048205812018,0.4826048205812018,-0.6426072344586045,0.21646925813227652,0.5173951794187981,0.3128723701018288
75%,chron5,-0.46985397122329936,0.6495943282901826,0.5053485323367091,0.49096979515557493,0.49096979515557493,0.49096979515557493,0.49096979515557493,0.49096979515557493,0.49096979515557493,-0.5709519388478265,0.23070851918566504,0.5301460287767006,0.3205396292813988
max,chron5,-0.3608179419525066,0.6576761796197533,0.5194973442155719,0.5264175257731959,0.5264175257731959,0.5264175257731959,0.5264175257731959,0.5264175257731959,0.5264175257731959,-0.4615155498952386,0.2751305200701252,0.6391820580474934,0.3461879030060848
count,chron10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron10,-0.4755942637980568,0.6445426047459479,0.4846347760723645,0.4755942637980568,0.4755942637980568,0.4755942637980568,0.4755942637980568,0.4755942637980568,0.4755942637980568,-0.6716859620826722,0.2090815941880595,0.5244057362019432,0.3032396684666783
std,chron10,0.03752781494646204,0.007875192808839795,0.01513765866917536,0.03752781494646204,0.03752781494646204,0.03752781494646204,0.03752781494646204,0.03752781494646204,0.03752781494646204,0.2543470200323958,0.03929017113175208,0.03752781494646203,0.026972564654100556
min,chron10,-0.5358295674628792,0.6217089530475357,0.4510904632855852,0.3489445910290237,0.3489445910290237,0.3489445910290237,0.3489445910290237,0.3489445910290237,0.3489445910290237,-1.614689120281099,0.10651904815077773,0.4641704325371207,0.21145318628582505
25%,chron10,-0.4984223877292692,0.6386870702879373,0.4786502986380068,0.4647885887338458,0.4647885887338458,0.4647885887338458,0.4647885887338458,0.4647885887338458,0.4647885887338458,-0.7189629179496914,0.19513676965982665,0.5015776122707307,0.2961234787210514
50%,chron10,-0.48004277239038,0.646650443719786,0.4878027877518735,0.48004277239038,0.48004277239038,0.48004277239038,0.48004277239038,0.48004277239038,0.48004277239038,-0.6419256512222042,0.21183230028967992,0.51995722760962,0.3086281805308471
75%,chron10,-0.4647885887338458,0.6506480410776408,0.495655012230524,0.4984223877292692,0.4984223877292692,0.4984223877292692,0.4984223877292692,0.4984223877292693,0.4984223877292693,-0.5094408181830825,0.23235649345945722,0.5352114112661541,0.3200064665764063
max,chron10,-0.3489445910290237,0.6564636830520911,0.5072789072019496,0.5358295674628792,0.5358295674628792,0.5358295674628792,0.5358295674628792,0.5358295674628792,0.5358295674628792,-0.3822805472308855,0.2706388729010786,0.6510554089709762,0.3399950980694996
count,shuffle1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle1,-0.5056883472428796,0.6326068930165467,0.5551467128480316,0.5056883472428796,0.5056883472428796,0.5056883472428796,0.5056883472428796,0.5056883472428796,0.5056883472428796,-0.5739176438179788,0.23025445237582537,0.4943116527571204,0.3191432835043534
std,shuffle1,0.03483235123089842,0.019275995479881486,0.014088153020488468,0.03483235123089842,0.03483235123089842,0.03483235123089842,0.03483235123089842,0.03483235123089842,0.03483235123089842,0.1262150089697295,0.053036254345126384,0.034832351230898416,0.034910454911492736
