,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
75%,chron5,-0.4646429160008596,0.7525785871513325,0.5021726439873478,0.49623977325248503,0.49623977325248503,0.49623977325248503,0.49623977325248503,0.4962397732524851,0.4962397732524851,-0.5521159205297917,0.23761103682857496,0.5353570839991405,0.3246148133123915
max,chron5,-0.34300791556728233,0.8027013730488841,0.5221584984358707,0.5112685125563425,0.5112685125563425,0.5112685125563425,0.5112685125563425,0.5112685125563425,0.5112685125563425,-0.4721172638436482,0.2680457265948064,0.6569920844327177,0.3422605603443831
count,chron10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron10,-0.4724077079241248,0.7039127606728302,0.4863365456460976,0.4724077079241248,0.4724077079241248,0.4724077079241248,0.4724077079241248,0.4724077079241248,0.4724077079241248,-0.6842122785811375,0.2048254467618748,0.5275922920758752,0.30074236792013076
std,chron10,0.03777045464153503,0.05372343358582381,0.014030352204357043,0.03777045464153503,0.03777045464153503,0.03777045464153503,0.03777045464153503,0.03777045464153503,0.03777045464153503,0.2758748836236658,0.035322462768296474,0.03777045464153502,0.026815298139622284
min,chron10,-0.5296391752577321,0.6107095687261458,0.454398447606727,0.3311345646437995,0.3311345646437995,0.3311345646437995,0.3311345646437995,0.3311345646437995,0.3311345646437995,-1.7511076830783736,0.0976492403924214,0.470360824742268,0.20014251042091488
25%,chron10,-0.4918991854374539,0.6625367821885416,0.4810060108664356,0.4631154160139444,0.4631154160139444,0.4631154160139444,0.4631154160139444,0.4631154160139444,0.4631154160139444,-0.7333039860728947,0.19196375048234962,0.5081008145625461,0.2903334069843828
50%,chron10,-0.4840619842922438,0.6890529342016553,0.4905582390950173,0.4840619842922438,0.4840619842922438,0.4840619842922438,0.4840619842922438,0.4840619842922438,0.4840619842922438,-0.6475331325222049,0.21457215380253872,0.5159380157077562,0.3100342746966514
75%,chron10,-0.4631154160139444,0.7501074940018859,0.4974523358262165,0.4918991854374539,0.4918991854374539,0.4918991854374539,0.4918991854374539,0.4918991854374539,0.4918991854374539,-0.5024928580810997,0.22673871273623744,0.5368845839860557,0.31708369481446846
max,chron10,-0.3311345646437995,0.8033800372711227,0.5041344008400053,0.5296391752577321,0.5296391752577321,0.5296391752577321,0.5296391752577321,0.5296391752577321,0.5296391752577321,-0.4160961802363885,0.26250189861523365,0.6688654353562006,0.3376912913391781
count,shuffle1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle1,-0.5229401697317564,0.7488514843831969,0.5805117925124741,0.5229401697317564,0.5229401697317564,0.5229401697317564,0.5229401697317564,0.5229401697317564,0.5229401697317564,-0.5210851206575813,0.2578340232625749,0.4770598302682437,0.3358549015799362
