,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1968,0.966716718,0.966311439,0.965795612,0.965275688,0.964912581,0.964475452,0.964135959,0.963813913,0.964114726,0.964165819,0.963946571,0.96354043,0.963193558,0.963000316,0.962677277,0.962473605,0.962155452,0.96188029,0.961592822,0.961409517,0.961249095,0.961124997,0.961076989,0.960962953,0.96081711,0.960819392,0.960779841,0.960890962,0.960970746,0.961199532,0.961197633,0.961272278,0.961335564,0.961517678,0.961683187,0.961793959,0.961941675,0.962121125,0.96222748,0.962395675
1969,0.966799145,0.966394596,0.96587945,0.965360192,0.964997574,0.964560899,0.964221472,0.963899767,0.964200038,0.964251113,0.964032386,0.96362676,0.963280501,0.963087848,0.962765351,0.962561787,0.962244579,0.961970145,0.961683024,0.961500352,0.961340355,0.961216529,0.961169079,0.961055302,0.960910212,0.96091276,0.960873595,0.960985203,0.961065049,0.961293617,0.961292067,0.961366438,0.961429325,0.961611233,0.961776501,0.961887045,0.962034766,0.962214037,0.96232033,0.96248821
1970,0.966881492,0.966477568,0.965963277,0.965444651,0.965082432,0.964646202,0.964306929,0.96398553,0.964285198,0.964336288,0.964118,0.963713057,0.963367312,0.963175317,0.962853174,0.962649844,0.962333492,0.962059759,0.961773074,0.961591054,0.961431533,0.961307901,0.961261109,0.96114757,0.961003185,0.961005926,0.960967083,0.961079178,0.96115906,0.961387633,0.961386151,0.961460483,0.961522874,0.961704471,0.961869595,0.961980045,0.96212774,0.962306797,0.96241299,0.962580625
1971,0.966963759,0.966560364,0.966047013,0.965528992,0.965167258,0.96473135,0.964392216,0.964071204,0.964370196,0.964421264,0.96420353,0.963799257,0.963453948,0.963262657,0.962940919,0.962737823,0.962422351,0.962149239,0.961863043,0.961681719,0.961522678,0.961399245,0.961353055,0.96123982,0.961096009,0.961098953,0.961060562,0.961173112,0.961252966,0.961481435,0.961480175,0.961554253,0.961616229,0.961797632,0.96196264,0.962072814,0.96222051,0.962399483,0.962505522,0.962672856
1972,0.967045915,0.96664303,0.966130549,0.965613212,0.965251899,0.964816438,0.964477401,0.964156821,0.964455065,0.964506156,0.964288991,0.963885306,0.963540514,0.963349803,0.963028561,0.962825706,0.962511033,0.962238606,0.961952879,0.961772111,0.9616136,0.961490466,0.961444741,0.961331879,0.961188702,0.96119187,0.96115391,0.961266955,0.961346765,0.96157499,0.961573915,0.961647924,0.961709494,0.961890492,0.96205552,0.962165429,0.962313111,0.962492096,0.962597913,0.962764809
1973,0.967127805,0.966725587,0.966213939,0.965697334,0.965336301,0.964901414,0.964562456,0.964242276,0.964539909,0.964590922,0.964374218,0.963971153,0.96362707,0.963436855,0.963116093,0.962913464,0.962599528,0.962327795,0.962042534,0.961862386,0.961704389,0.961581556,0.961536374,0.961423902,0.961281274,0.961284723,0.961247139,0.961360581,0.961440393,0.961668428,0.96166759,0.961741465,0.961802664,0.961983205,0.962148295,0.96225799,0.962405487,0.962584387,0.962690063,0.9628567
1974,0.967209599,0.966808131,0.96629728,0.965781382,0.965420671,0.964986316,0.964647335,0.964327656,0.964624618,0.964675601,0.964459397,0.96405696,0.963713438,0.963523808,0.963203414,0.963001193,0.96268789,0.9624168,0.962132077,0.961952587,0.961795066,0.961672476,0.961627905,0.9615158,0.961373788,0.961377471,0.961340215,0.961454048,0.961533878,0.961761771,0.961761177,0.961834685,0.961895608,0.962075816,0.962240843,0.962350339,0.962497756,0.962676595,0.962782202,0.962948477
1975,0.967291304,0.966890544,0.966380468,0.965865342,0.965504848,0.96507093,0.964732124,0.96441296,0.964709123,0.964760197,0.964544476,0.964142695,0.963799674,0.96361065,0.963290689,0.963088652,0.962776164,0.962505712,0.962221461,0.962042715,0.961885645,0.961763355,0.961719219,0.961607467,0.961466018,0.961470095,0.961433195,0.961547234,0.961627248,0.961854921,0.961854652,0.961927859,0.961988344,0.962168096,0.962333215,0.962442608,0.962589909,0.962768693,0.962874212,0.963040168
1976,0.967372883,0.966972871,0.966463536,0.965949125,0.965588986,0.965155521,0.96481672,0.964498196,0.964793491,0.964844669,0.96462949,0.964228171,0.963885855,0.963697329,0.963377891,0.963176065,0.962864281,0.962594477,0.962310802,0.962132821,0.961976,0.961854179,0.961810182,0.961699084,0.961558109,0.96156256,0.961526017,0.96164023,0.961720522,0.961947833,0.961947957,0.962020946,0.962080982,0.962260217,0.962425459,0.962534649,0.962682001,0.962860608,0.962966004,0.963131493
1977,0.96745441,0.96705499,0.966546499,0.96603285,0.965673031,0.965239879,0.964901256,0.964583292,0.96487769,0.964929071,0.964714394,0.964313564,0.963971937,0.963783807,0.963464927,0.963263263,0.962952298,0.962683117,0.962399944,0.962222776,0.962066313,0.961944977,0.961901083,0.961790666,0.96165016,0.961654914,0.961618647,0.961733179,0.961813644,0.962040719,0.962041034,0.962113794,0.962173351,0.962352289,0.962517511,0.962626599,0.96277401,0.962952322,0.963057543,0.963222774
1978,0.967535877,0.967136973,0.966629381,0.966116527,0.965756912,0.965324139,0.964985591,0.964668174,0.964961717,0.965013247,0.964799061,0.964398872,0.96405783,0.963870219,0.963551948,0.963350397,0.96304023,0.962771626,0.962488966,0.962312496,0.962156499,0.96203563,0.96199189,0.961882048,0.961741925,0.961747144,0.961711186,0.961825974,0.961906567,0.962133458,0.962133865,0.962206591,0.962265707,0.962444168,0.962609383,0.962718454,0.962865936,0.963043976,0.963148974,0.963313763
1979,0.967617249,0.967218752,0.966712068,0.966199911,0.965840762,0.965408272,0.965069809,0.964752934,0.965045704,0.965097366,0.964883583,0.964484122,0.964143718,0.963956471,0.963638728,0.963437459,0.963128028,0.96286007,0.962577803,0.962402106,0.96224655,0.96212615,0.962082569,0.961973223,0.961833605,0.961839164,0.96180352,0.961918464,0.961999476,0.962225949,0.962226456,0.962299158,0.962357967,0.962535981,0.962701074,0.962810087,0.962957738,0.963135588,0.963240067,0.963404654
1980,0.967698431,0.967300472,0.966794672,0.966283284,0.965924468,0.965492302,0.965153965,0.964837659,0.965129637,0.965181249,0.964967961,0.964569185,0.964229441,0.964042709,0.96372542,0.963524398,0.963215644,0.962948355,0.962666369,0.962491656,0.962336431,0.962216589,0.962173204,0.962064325,0.961925187,0.961931053,0.961895686,0.962010786,0.962092116,0.962318134,0.962318957,0.962391502,0.962449955,0.962627739,0.962792714,0.962901634,0.96304928,0.963227073,0.963331108,0.963495436
1981,0.967779517,0.967382096,0.966877238,0.966366311,0.966008021,0.965576251,0.965238061,0.964922223,0.965213403,0.965265105,0.965052284,0.964654137,0.964315042,0.96412887,0.963811955,0.963611139,0.963303193,0.963036594,0.962754855,0.962581048,0.962426269,0.962306771,0.962263771,0.962155308,0.962016575,0.962022825,0.961987742,0.962103035,0.962184537,0.96241022,0.962411421,0.962483708,0.962541914,0.96271933,0.962884204,0.962993048,0.963140737,0.963318383,0.963421892,0.963586001
