,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
min,chron5,-0.5608465608465608,0.6511239171792172,0.484299674267101,0.4225996080992816,0.4225996080992816,0.4225996080992816,0.4225996080992816,0.4225996080992816,0.4225996080992816,-0.9083147885899256,0.16692324501334188,0.4391534391534391,0.2643495418142266
25%,chron5,-0.5431090738900523,0.6943604417571106,0.5145800910054723,0.49098229452220327,0.49098229452220327,0.49098229452220327,0.49098229452220327,0.49098229452220327,0.49098229452220327,-0.51732895472847,0.232800402463904,0.45689092610994786,0.3218772689060506
50%,chron5,-0.5155127315629198,0.7215383800182313,0.5302028617826378,0.5155127315629198,0.5155127315629198,0.5155127315629198,0.5155127315629198,0.5155127315629198,0.5155127315629198,-0.39740908674018727,0.26645244289270353,0.48448726843708023,0.3423698634856007
75%,chron5,-0.49098229452220327,0.7452642815693287,0.5389823642650828,0.5431090738900523,0.5431090738900523,0.5431090738900523,0.5431090738900523,0.5431090738900523,0.5431090738900523,-0.345957844261361,0.3031374192649812,0.5090177054777967,0.3657812316542114
max,chron5,-0.4225996080992816,0.7994633691087261,0.5556005398110662,0.5608465608465608,0.5608465608465608,0.5608465608465608,0.5608465608465608,0.5608465608465608,0.5608465608465608,-0.2259761925178712,0.3343654092357754,0.5774003919007185,0.38321221061967936
count,chron10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron10,-0.5098343539230646,0.7165955649763353,0.5207916909349988,0.5098343539230646,0.5098343539230646,0.5098343539230646,0.5098343539230646,0.5098343539230646,0.5098343539230646,-0.44950676365874037,0.25743741184224467,0.49016564607693536,0.33661232249153394
std,chron10,0.03387285990337829,0.03270222466078795,0.014222608825874603,0.03387285990337829,0.03387285990337829,0.03387285990337829,0.03387285990337829,0.03387285990337827,0.03387285990337827,0.1406137264504899,0.04628521535777509,0.033872859903378294,0.02913861385044439
min,chron10,-0.5649867374005305,0.6661666208878277,0.497438889969526,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,0.4322033898305085,-0.8736969396749543,0.1661924895080894,0.4350132625994695,0.27273256576465715
25%,chron10,-0.5329709261266153,0.6893172753357173,0.5074327031074717,0.48921523595658534,0.48921523595658534,0.48921523595658534,0.48921523595658534,0.48921523595658534,0.48921523595658534,-0.5074068505338756,0.2303621315092705,0.4670290738733847,0.3218437054738926
