,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,,precision_score_test,recall_score_test,f1_score_test,status
75,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.573486263,0.99904171,0.576005453,0.573486263,0.425555447,0.573486263,0.573486263,0.573486263,ok
63,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.572863875,0.999081227,0.578583919,0.572863875,0.426217352,0.572863875,0.572863875,0.572863875,ok
88,0.8,8,gbdt,0.4,2,5,0.1,300,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.571678373,0.999515916,0.571026348,0.571678373,0.427837543,0.571678373,0.571678373,0.571678373,ok
69,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.571559823,0.999002193,0.575886903,0.571559823,0.42744237,0.571559823,0.571559823,0.571559823,ok
96,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.3,1000,3,200,12,multiclass,0.7,-0.57111526,0.998488471,0.572152574,0.57111526,0.427373211,0.57111526,0.57111526,0.57111526,ok
71,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.57052251,0.998379799,0.575383065,0.57052251,0.427857289,0.57052251,0.57052251,0.57052251,ok
58,0.8,8,gbdt,0.6,1,15,0.075,255,multi_error,750,0.2,1000,3,100,12,multiclass,0.66,-0.567766219,0.979905554,0.56859607,0.567766219,0.412139335,0.567766219,0.567766219,0.567766219,ok
83,0.8,5,gbdt,0.4,2,5,0.05,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.567499481,0.980715655,0.565484129,0.567499481,0.413216174,0.567499481,0.567499481,0.567499481,ok
61,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.567469844,0.998883642,0.574434664,0.567469844,0.431413798,0.567469844,0.567469844,0.567469844,ok
81,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.3,1000,3,200,12,multiclass,0.7,-0.56607688,0.998518109,0.565750867,0.56607688,0.432441229,0.56607688,0.56607688,0.56607688,ok
31,0.8,2,gbdt,0.6,1,15,0.075,200,multi_error,750,0.4,1000,3,100,12,multiclass,0.75,-0.56415044,0.982493924,0.55946771,0.56415044,0.418343484,0.56415044,0.56415044,0.56415044,ok
28,0.8,2,gbdt,0.6,1,15,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.563172402,0.989755192,0.560179011,0.563172402,0.42658279,0.563172402,0.563172402,0.563172402,ok
2,0.8,5,gbdt,0.6,1,45,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.562372188,0.98405485,0.564209715,0.562372188,0.421682662,0.562372188,0.562372188,0.562372188,ok
21,0.8,8,gbdt,0.6,1,45,0.075,300,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.5619869,0.9844599,0.554844255,0.5619869,0.422473,0.5619869,0.5619869,0.5619869,ok
23,0.8,5,gbdt,0.6,1,45,0.075,300,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.561127412,0.985596017,0.561927625,0.561127412,0.424468605,0.561127412,0.561127412,0.561127412,ok
26,0.8,8,gbdt,0.6,1,45,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.560860674,0.983531248,0.564595003,0.560860674,0.422670574,0.560860674,0.560860674,0.560860674,ok
62,0.6,8,gbdt,0.8,2,5,0.1,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.560505024,0.997362234,0.565780504,0.560505024,0.43685721,0.560505024,0.560505024,0.560505024,ok
29,0.8,2,gbdt,0.6,1,15,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.560386473,0.989103159,0.563972615,0.560386473,0.428716686,0.560386473,0.560386473,0.560386473,ok
22,0.8,5,gbdt,0.6,1,45,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.55970481,0.982256822,0.560712486,0.55970481,0.422552012,0.55970481,0.55970481,0.55970481,ok
54,0.8,5,gbdt,0.8,1,5,0.075,200,multi_error,750,0.2,1000,3,150,12,multiclass,0.7,-0.55934916,0.985299638,0.560208648,0.55934916,0.425950478,0.55934916,0.55934916,0.55934916,ok
24,0.8,8,gbdt,0.6,1,45,0.075,300,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.558963872,0.984667365,0.563498414,0.558963872,0.425703493,0.558963872,0.558963872,0.558963872,ok
12,0.8,8,gbdt,0.2,0.4,5,0.1,300,multi_error,500,0.3,1000,3,200,12,multiclass,0.66,-0.558756409,0.998122938,0.563379864,0.558756409,0.439366529,0.558756409,0.558756409,0.558756409,ok
35,0.8,2,gbdt,0.4,1,15,0.075,200,multi_error,750,0.4,1000,3,100,12,multiclass,0.7,-0.558637859,0.969937365,0.560505024,0.558637859,0.411299506,0.558637859,0.558637859,0.558637859,ok
20,0.8,8,gbdt,0.6,1,45,0.075,300,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.558608221,0.983155836,0.560149373,0.558608221,0.424547615,0.558608221,0.558608221,0.558608221,ok
25,0.8,5,gbdt,0.6,1,45,0.075,200,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.558548946,0.984489538,0.559793723,0.558548946,0.425940592,0.558548946,0.558548946,0.558548946,ok
50,0.8,5,gbdt,0.8,1,5,0.1,200,multi_error,1200,0.2,1000,3,100,12,multiclass,0.75,-0.558489671,0.97205153,0.560149373,0.558489671,0.413561859,0.558489671,0.558489671,0.558489671,ok
36,0.8,2,gbdt,0.6,1,1,0.075,200,multi_error,750,0.4,1000,3,150,12,multiclass,0.75,-0.558371121,0.981792496,0.56139415,0.558371121,0.423421375,0.558371121,0.558371121,0.558371121,ok
80,0.8,8,gbdt,0.8,2,45,0.1,300,multi_error,500,0.2,1000,3,200,12,multiclass,0.8,-0.557630183,0.999664105,0.558637859,0.557630183,0.442033922,0.557630183,0.557630183,0.557630183,ok
45,0.6,2,gbdt,0.2,1,15,0.1,255,multi_error,500,0.3,1000,3,100,12,multiclass,0.66,-0.557511633,0.985299638,0.555585193,0.557511633,0.427788005,0.557511633,0.557511633,0.557511633,ok
254,0.6,2,gbdt,0.6,2,45,0.081839746,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.693414441,-0.557511633,0.915492679,0.552236152,0.557511633,0.357981046,0.557511633,0.557511633,0.557511633,ok
91,0.6,5,gbdt,0.8,2,5,0.05,255,multi_error,500,0.3,1000,3,200,12,multiclass,0.7,-0.55694852,0.960117366,0.556089031,0.55694852,0.403168846,0.55694852,0.55694852,0.55694852,ok
93,0.8,8,gbdt,0.4,0.4,5,0.075,300,multi_error,1200,0.2,1000,3,200,12,multiclass,0.66,-0.556444682,0.891258817,0.55549628,0.556444682,0.334814135,0.556444682,0.556444682,0.556444682,ok
246,0.6,2,gbdt,0.6,2,45,0.084642943,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.721269006,-0.556237219,0.926429037,0.551643401,0.556237219,0.370191818,0.556237219,0.556237219,0.556237219,ok
98,0.6,8,gbdt,0.4,0.4,5,0.05,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.556148306,0.942581652,0.556415044,0.556148306,0.386433346,0.556148306,0.556148306,0.556148306,ok
270,0.6,2,gbdt,0.6,2,45,0.085350513,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.695142789,-0.555555556,0.91793286,0.558074746,0.555555556,0.362377304,0.555555556,0.555555556,0.555555556,ok
248,0.6,2,gbdt,0.6,2,45,0.086938462,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.713543883,-0.555288818,0.930430144,0.555318455,0.555288818,0.375141326,0.555288818,0.555288818,0.555288818,ok
30,0.8,2,gbdt,0.6,1,15,0.075,200,multi_error,750,0.2,1000,3,50,12,multiclass,0.75,-0.554814617,0.934826421,0.558786047,0.554814617,0.380011804,0.554814617,0.554814617,0.554814617,ok
251,0.6,2,gbdt,0.6,2,45,0.081773685,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.702588229,-0.554607155,0.919108494,0.550072612,0.554607155,0.364501339,0.554607155,0.554607155,0.554607155,ok
27,0.8,5,gbdt,0.6,1,45,0.075,300,multi_error,750,0.2,1000,3,100,12,multiclass,0.75,-0.554399692,0.983886902,0.564802466,0.554399692,0.42948721,0.554399692,0.554399692,0.554399692,ok
252,0.6,2,gbdt,0.6,2,45,0.087421905,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.693733709,-0.554103316,0.918525617,0.552354702,0.554103316,0.364422301,0.554103316,0.554103316,0.554103316,ok
198,0.6,2,gbdt,0.6,2,45,0.088875643,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.719813879,-0.553984766,0.926004228,0.554014404,0.553984766,0.372019462,0.553984766,0.553984766,0.553984766,ok
40,0.8,2,gbdt,0.6,1,15,0.1,200,multi_error,750,0.8,1000,3,100,12,multiclass,0.66,-0.553184553,0.895664974,0.549035298,0.553184553,0.342480421,0.553184553,0.553184553,0.553184553,ok
224,0.6,3,gbdt,0.6,2,135,0.076857848,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.724487103,-0.55285854,0.871549663,0.55057645,0.55285854,0.318691123,0.55285854,0.55285854,0.55285854,ok
253,0.6,2,gbdt,0.6,2,45,0.085777639,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.685732295,-0.552562165,0.920985556,0.552236152,0.552562165,0.368423391,0.552562165,0.552562165,0.552562165,ok
170,0.6,2,gbdt,0.6,2,45,0.094285104,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.720949214,-0.552532527,0.941396139,0.552828903,0.552532527,0.388863612,0.552532527,0.552532527,0.552532527,ok
292,0.6,5,gbdt,0.6,2,15,0.082700565,255,multi_error,750,0.6,1000,3,50,12,multiclass,0.714871628,-0.552443615,0.908577187,0.54865001,0.552443615,0.356133572,0.552443615,0.552443615,0.552443615,ok
44,0.8,2,gbdt,0.6,2,15,0.05,200,multi_error,750,0.8,1000,3,100,12,multiclass,0.75,-0.55238434,0.893056845,0.558045108,0.55238434,0.340672505,0.55238434,0.55238434,0.55238434,ok
247,0.6,2,gbdt,0.6,2,45,0.088240413,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.705863134,-0.551435938,0.92775286,0.551613764,0.551435938,0.376316922,0.551435938,0.551435938,0.551435938,ok
173,0.6,2,gbdt,0.6,2,45,0.084056416,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.72482766,-0.551347026,0.928256703,0.550250437,0.551347026,0.376909677,0.551347026,0.551347026,0.551347026,ok
245,0.6,2,gbdt,0.6,2,45,0.080834015,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.724996112,-0.551198838,0.91072099,0.549628049,0.551198838,0.359522152,0.551198838,0.551198838,0.551198838,ok
171,0.6,2,gbdt,0.6,2,45,0.084156001,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.72563858,-0.551080288,0.928207307,0.549894787,0.551080288,0.377127019,0.551080288,0.551080288,0.551080288,ok
250,0.6,2,gbdt,0.6,2,45,0.073315515,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.71373763,-0.550398625,0.905247871,0.552710352,0.550398625,0.354849246,0.550398625,0.550398625,0.550398625,ok
145,0.6,2,gbdt,0.6,2,15,0.091376224,255,multi_error,750,0.6,1000,3,150,12,multiclass,0.684431932,-0.550280075,0.932010828,0.547464509,0.550280075,0.381730753,0.550280075,0.550280075,0.550280075,ok
167,0.6,2,gbdt,0.6,2,45,0.094412551,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.706896411,-0.550161525,0.937335757,0.555437005,0.550161525,0.387174232,0.550161525,0.550161525,0.550161525,ok
256,0.6,2,gbdt,0.6,2,45,0.081763726,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.676640623,-0.550161525,0.913704531,0.554518242,0.550161525,0.363543006,0.550161525,0.550161525,0.550161525,ok
90,0.8,8,gbdt,0.2,2,45,0.075,255,multi_error,500,0.2,1000,3,50,12,multiclass,0.66,-0.550161525,0.872833969,0.556089031,0.550161525,0.322672444,0.550161525,0.550161525,0.550161525,ok
165,0.6,2,gbdt,0.6,2,45,0.093739403,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.707587364,-0.550131887,0.936644208,0.554340417,0.550131887,0.386512321,0.550131887,0.550131887,0.550131887,ok
166,0.6,2,gbdt,0.6,2,45,0.097835177,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.70652008,-0.550102249,0.937266602,0.556503957,0.550102249,0.387164353,0.550102249,0.550102249,0.550102249,ok
288,0.6,2,gbdt,0.6,5,45,0.076258319,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.697272633,-0.550102249,0.881567248,0.552828903,0.550102249,0.331464999,0.550102249,0.550102249,0.550102249,ok
11,0.6,2,gbdt,0.4,0.4,45,0.05,255,multi_error,500,0.4,1000,3,200,12,multiclass,0.8,-0.549983699,0.94479461,0.550428262,0.549983699,0.394810911,0.549983699,0.549983699,0.549983699,ok
200,0.6,2,gbdt,0.6,2,45,0.094681155,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.716422583,-0.549894787,0.9378396,0.554725705,0.549894787,0.387944813,0.549894787,0.549894787,0.549894787,ok
214,0.6,2,gbdt,0.3,2,45,0.085002592,128,multi_error,1200,0.6,1000,3,75,12,multiclass,0.710608306,-0.549835512,0.804637332,0.542159391,0.549835512,0.25480182,0.549835512,0.549835512,0.549835512,ok
255,0.6,2,gbdt,0.6,2,45,0.07918795,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.695531241,-0.549568774,0.910434491,0.551109926,0.549568774,0.360865717,0.549568774,0.549568774,0.549568774,ok
219,0.6,5,gbdt,0.6,2,45,0.095665978,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.74081671,-0.549420586,0.926172176,0.547168134,0.549420586,0.37675159,0.549420586,0.549420586,0.549420586,ok
284,0.6,2,gbdt,0.4,2,45,0.074884829,255,multi_error,750,0.6,1000,3,100,12,multiclass,0.6648528,-0.549242761,0.876202802,0.546960671,0.549242761,0.326960041,0.549242761,0.549242761,0.549242761,ok
1,0.6,8,gbdt,0.8,0.4,1,0.05,255,multi_error,750,0.4,1000,3,150,12,multiclass,0.8,-0.549124211,0.908903203,0.547820159,0.549124211,0.359778992,0.549124211,0.549124211,0.549124211,ok
169,0.6,2,gbdt,0.6,2,45,0.09428991,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.702280933,-0.549035298,0.926893363,0.555614831,0.549035298,0.377858065,0.549035298,0.549035298,0.549035298,ok
177,0.6,2,gbdt,0.6,2,45,0.088111873,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.737728595,-0.548590735,0.937464188,0.553125278,0.548590735,0.388873453,0.548590735,0.548590735,0.548590735,ok
182,0.6,2,gbdt,0.3,2,45,0.073784645,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.722497994,-0.548442548,0.878198415,0.547583059,0.548442548,0.329755867,0.548442548,0.548442548,0.548442548,ok
225,0.6,3,gbdt,0.6,2,135,0.064246385,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.699827769,-0.54841291,0.841358598,0.545538069,0.54841291,0.292945688,0.54841291,0.54841291,0.54841291,ok
259,0.6,2,gbdt,0.3,2,45,0.090226987,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.679530705,-0.548116535,0.895526664,0.548679648,0.548116535,0.347410129,0.548116535,0.548116535,0.548116535,ok
249,0.6,2,gbdt,0.6,2,45,0.084786561,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.711027035,-0.547968347,0.920817609,0.553569841,0.547968347,0.372849262,0.547968347,0.547968347,0.547968347,ok
147,0.6,2,gbdt,0.6,2,15,0.057830971,255,multi_error,750,0.8,1000,3,150,12,multiclass,0.671167605,-0.547849797,0.849202742,0.547079221,0.547849797,0.301352945,0.547849797,0.547849797,0.547849797,ok
211,0.6,5,gbdt,0.6,2,45,0.081019655,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.747671603,-0.547760884,0.925935073,0.547849797,0.547760884,0.378174189,0.547760884,0.547760884,0.547760884,ok
55,0.6,8,gbdt,0.6,2,15,0.1,300,multi_error,1200,0.2,1000,3,100,12,multiclass,0.75,-0.547760884,0.902442157,0.547405234,0.547760884,0.354681273,0.547760884,0.547760884,0.547760884,ok
168,0.6,2,gbdt,0.6,2,45,0.09195973,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.718265098,-0.547464509,0.927733101,0.552532527,0.547464509,0.380268592,0.547464509,0.547464509,0.547464509,ok
290,0.6,2,gbdt,0.6,10,45,0.089952849,255,multi_error,750,0.6,1000,3,150,12,multiclass,0.709109657,-0.547168134,0.855278497,0.551080288,0.547168134,0.308110363,0.547168134,0.547168134,0.547168134,ok
184,0.6,5,gbdt,0.6,2,45,0.079777039,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.745808529,-0.54624937,0.911145798,0.556563232,0.54624937,0.364896428,0.54624937,0.54624937,0.54624937,ok
84,0.8,8,gbdt,0.8,2,45,0.075,300,multi_error,500,0.8,1000,3,200,12,multiclass,0.8,-0.546219733,0.944557507,0.550961738,0.546219733,0.398337774,0.546219733,0.546219733,0.546219733,ok
48,0.8,2,gbdt,0.2,1,15,0.075,255,multi_error,500,0.8,1000,3,200,12,multiclass,0.7,-0.546160458,0.906443263,0.551554489,0.546160458,0.360282805,0.546160458,0.546160458,0.546160458,ok
261,0.6,2,gbdt,0.6,5,45,0.080371076,255,multi_error,750,0.8,1000,3,125,12,multiclass,0.692729049,-0.546101183,0.851702199,0.541981565,0.546101183,0.305601016,0.546101183,0.546101183,0.546101183,ok
206,0.6,2,gbdt,0.3,2,45,0.091861335,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.745944029,-0.54589372,0.914168857,0.548264722,0.54589372,0.368275137,0.54589372,0.54589372,0.54589372,ok
268,0.6,2,gbdt,0.3,2,45,0.089006032,255,multi_error,750,0.6,1000,3,75,12,multiclass,0.70486554,-0.545686257,0.899191875,0.551317388,0.545686257,0.353505618,0.545686257,0.545686257,0.545686257,ok
239,0.6,3,gbdt,0.3,5,135,0.076665698,200,multi_error,750,0.6,1000,3,75,12,multiclass,0.719597542,-0.54565662,0.818132422,0.549865149,0.54565662,0.272475802,0.54565662,0.54565662,0.54565662,ok
129,0.6,2,gbdt,0.4,2,270,0.088605578,128,multi_error,750,0.6,1000,3,100,12,multiclass,0.711786927,-0.545389882,0.824721898,0.546041907,0.545389882,0.279332016,0.545389882,0.545389882,0.545389882,ok
231,0.6,3,gbdt,0.3,2,135,0.073707938,255,multi_error,750,0.6,1000,3,150,12,multiclass,0.69090232,-0.545152781,0.830728498,0.54132954,0.545152781,0.285575717,0.545152781,0.545152781,0.545152781,ok
176,0.6,1,gbdt,0.3,2,45,0.077912011,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.731955307,-0.545123144,0.879917409,0.548827836,0.545123144,0.334794265,0.545123144,0.545123144,0.545123144,ok
263,0.4,2,gbdt,0.6,2,45,0.07542878,255,multi_error,750,0.6,1000,3,150,12,multiclass,0.703041674,-0.544382206,0.806800893,0.54168519,0.544382206,0.262418687,0.544382206,0.544382206,0.544382206,ok
277,0.6,2,gbdt,0.3,2,45,0.085595781,255,multi_error,750,0.8,1000,3,75,12,multiclass,0.681531936,-0.544293293,0.852798799,0.541359177,0.544293293,0.308505506,0.544293293,0.544293293,0.544293293,ok
233,0.6,3,gbdt,0.6,5,135,0.070053493,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.737380148,-0.543819092,0.840192843,0.545063869,0.543819092,0.296373751,0.543819092,0.543819092,0.543819092,ok
265,0.6,2,gbdt,0.1,2,45,0.083727642,255,multi_error,750,0.6,1000,3,50,12,multiclass,0.707852459,-0.543759817,0.822736164,0.534364719,0.543759817,0.278976347,0.543759817,0.543759817,0.543759817,ok
150,0.6,2,gbdt,0.6,5,15,0.058904026,255,multi_error,750,0.8,1000,3,150,12,multiclass,0.673997832,-0.543552355,0.825502361,0.543700542,0.543552355,0.281950006,0.543552355,0.543552355,0.543552355,ok
127,0.6,5,gbdt,0.4,2,270,0.086778742,128,multi_error,1200,0.6,1000,3,100,12,multiclass,0.749172657,-0.543522717,0.768419909,0.540321864,0.543522717,0.224897192,0.543522717,0.543522717,0.543522717,ok
76,0.4,8,gbdt,0.8,2,5,0.05,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.543255979,0.85863745,0.548383273,0.543255979,0.315381471,0.543255979,0.543255979,0.543255979,ok
10,0.4,8,gbdt,0.8,1,5,0.1,200,multi_error,500,0.2,1000,3,200,12,multiclass,0.75,-0.543196704,0.981654186,0.543937643,0.543196704,0.438457482,0.543196704,0.543196704,0.543196704,ok
18,0.4,2,gbdt,0.6,2,5,0.1,200,multi_error,500,0.8,1000,3,50,12,multiclass,0.7,-0.543137429,0.912677086,0.539462375,0.543137429,0.369539657,0.543137429,0.543137429,0.543137429,ok
244,0.6,3,gbdt,0.6,2,15,0.092217152,255,multi_error,1200,0.6,1000,3,50,12,multiclass,0.715656195,-0.542633591,0.843680228,0.542159391,0.542633591,0.301046637,0.542633591,0.542633591,0.542633591,ok
3,0.6,5,gbdt,0.2,2,1,0.075,300,multi_error,1200,0.4,1000,3,100,12,multiclass,0.7,-0.542366853,0.796378258,0.537832311,0.542366853,0.254011405,0.542366853,0.542366853,0.542366853,ok
42,0.6,2,gbdt,0.8,1,15,0.075,200,multi_error,1200,0.3,1000,3,50,12,multiclass,0.8,-0.542070478,0.8552291,0.541033164,0.542070478,0.313158622,0.542070478,0.542070478,0.542070478,ok
297,0.6,2,gbdt,0.6,10,270,0.096574602,128,multi_error,750,0.6,1000,3,125,12,multiclass,0.692197645,-0.541507365,0.787318962,0.54589372,0.541507365,0.245811597,0.541507365,0.541507365,0.541507365,ok
286,0.6,1,gbdt,0.3,2,45,0.079454748,255,multi_error,1200,0.6,1000,3,75,12,multiclass,0.672945443,-0.541240627,0.786597775,0.542100116,0.541240627,0.245357148,0.541240627,0.541240627,0.541240627,ok
193,0.4,2,gbdt,0.6,2,45,0.087420769,200,multi_error,750,0.6,1000,3,125,12,multiclass,0.726638791,-0.54121099,0.844944775,0.541863015,0.54121099,0.303733785,0.54121099,0.54121099,0.54121099,ok
85,0.6,8,gbdt,0.2,0.4,1,0.075,255,multi_error,1200,0.2,1000,3,50,12,multiclass,0.66,-0.540796064,0.790559365,0.534453632,0.540796064,0.249763301,0.540796064,0.540796064,0.540796064,ok
108,0.6,5,gbdt,0.4,2,270,0.086701042,128,multi_error,1200,0.6,1000,3,150,12,multiclass,0.729881339,-0.540381139,0.766691036,0.542841054,0.540381139,0.226309897,0.540381139,0.540381139,0.540381139,ok
208,0.6,2,gbdt,0.6,5,45,0.090420936,200,multi_error,750,1.2,1000,3,125,12,multiclass,0.739394268,-0.540321864,0.786212483,0.542218666,0.540321864,0.245890619,0.540321864,0.540321864,0.540321864,ok
128,0.6,3,gbdt,0.2,2,270,0.095728519,128,multi_error,1200,0.6,1000,3,150,12,multiclass,0.728067643,-0.540292226,0.749678924,0.536972822,0.540292226,0.209386698,0.540292226,0.540292226,0.540292226,ok
134,0.6,2,gbdt,0.4,2,270,0.067159066,128,multi_error,750,0.6,1000,3,50,12,multiclass,0.695020565,-0.539936576,0.77317184,0.543700542,0.539936576,0.233235264,0.539936576,0.539936576,0.539936576,ok
203,0.6,3,gbdt,0.6,2,45,0.098520165,200,multi_error,1800,0.6,1000,3,125,12,multiclass,0.730555915,-0.539580925,0.779781075,0.543433805,0.539580925,0.24020015,0.539580925,0.539580925,0.539580925,ok
299,0.4,5,gbdt,0.6,2,15,0.086009238,255,multi_error,750,0.6,1000,3,150,12,multiclass,0.680527999,-0.539195637,0.825620912,0.540084763,0.539195637,0.286425275,0.539195637,0.539195637,0.539195637,ok
124,0.6,5,gbdt,0.4,2,270,0.084861363,128,multi_error,1200,0.6,1000,3,100,12,multiclass,0.749350593,-0.538602887,0.760111438,0.538454699,0.538602887,0.221508551,0.538602887,0.538602887,0.538602887,ok
137,0.6,3,gbdt,0.2,2,45,0.082297805,128,multi_error,750,0.8,1000,3,100,12,multiclass,0.724686232,-0.538484337,0.810209243,0.541833378,0.538484337,0.271724906,0.538484337,0.538484337,0.538484337,ok
123,0.6,5,gbdt,0.4,2,270,0.086322152,128,multi_error,1200,0.6,1000,3,100,12,multiclass,0.747804445,-0.537891586,0.768528581,0.539136362,0.537891586,0.230636995,0.537891586,0.537891586,0.537891586,ok
187,0.6,2,gbdt,0.1,2,45,0.09655393,255,multi_error,750,0.6,1000,3,125,12,multiclass,0.716362463,-0.537802673,0.834946948,0.545241694,0.537802673,0.297144275,0.537802673,0.537802673,0.537802673,ok
