,0
257,0.7199148905897572
258,0.7205482875949911
259,0.7211802304877271
260,0.7218110934142363
261,0.7224390728956744
262,0.723064208396366
263,0.7236872005355415
264,0.724308288801486
265,0.7249282541697293
266,0.725546676860188
267,0.7261644982550653
268,0.7267819315330966
269,0.7273953336374431
270,0.7280030335037967
271,0.7286101317686439
272,0.7292150177878631
273,0.7298195508206234
274,0.730421165838788
275,0.7310209214958087
276,0.7316197945082257
277,0.7322183432401459
278,0.7328135740625118
279,0.7334057724543331
280,0.7339973115267986
281,0.7345825017378026
282,0.7351666517018419
283,0.7357480977987834
284,0.7363288895731439
285,0.7369075613892506
286,0.737484171270878
287,0.7380594114243191
288,0.7386326660735425
289,0.7392050318576874
290,0.7397754800529639
291,0.7403451666479606
292,0.740913235256636
293,0.7414780013029945
