feature_name,importance,
cogsq_qoq_lag16,362,0.000660112
rectq_qoq_lag11,361,0.000658288
niq_qoq_lag14,361,0.000658288
wcapq_yoy_lag15,361,0.000658288
cogsq_qoq_lag19,361,0.000658288
loq_yoy_lag02,360,0.000656465
oancfy_q_yoy_lag07,360,0.000656465
seqq_yoy_lag16,360,0.000656465
dpq_qoq_lag04,359,0.000654641
seqq_qoq_lag14,359,0.000654641
xintq_yoy_lag17,359,0.000654641
wcapq_yoy_lag19,358,0.000652818
lcoq_yoy_lag01,357,0.000650994
ltq_yoy_lag04,357,0.000650994
lcoq_qoq_lag07,357,0.000650994
revtq_qoq_lag07,357,0.000650994
acoq_yoy_lag19,357,0.000650994
cogsq_qoq_lag06,356,0.000649171
lctq_yoy_lag07,356,0.000649171
seqq_yoy_lag10,356,0.000649171
cogsq_yoy,355,0.000647347
seqq_qoq_lag08,354,0.000645524
lctq_qoq_lag11,354,0.000645524
ltq_yoy_lag03,353,0.0006437
xsgaq_qoq_lag18,353,0.0006437
aoq_yoy_lag18,353,0.0006437
ltq_qoq_lag13,352,0.000641877
capxy_q_yoy,351,0.000640053
atq_qoq_lag04,351,0.000640053
seqq_qoq_lag04,351,0.000640053
atq_qoq_lag06,351,0.000640053
oibdpq_qoq_lag02,350,0.00063823
acoq_yoy_lag06,350,0.00063823
dlcq_yoy_lag08,350,0.00063823
apq_qoq_lag09,350,0.00063823
ltq_qoq_lag19,350,0.00063823
rectq_yoy_lag11,349,0.000636406
acoq_qoq_lag04,348,0.000634583
niq_yoy_lag07,348,0.000634583
actq_qoq_lag08,348,0.000634583
dlcq_atq,347,0.000632759
acoq_qoq_lag03,347,0.000632759
actq_qoq_lag04,347,0.000632759
oibdpq_qoq_lag04,347,0.000632759
capxy_q_yoy_lag06,347,0.000632759
seqq_yoy_lag17,347,0.000632759
lltq_yoy_lag01,346,0.000630936
nopiq_yoy_lag03,346,0.000630936
revtq_qoq_lag14,346,0.000630936
dpq_qoq_lag16,346,0.000630936
ltq_qoq_lag16,346,0.000630936
atq_yoy_lag01,345,0.000629112
xsgaq_yoy_lag02,345,0.000629112
wcapq_qoq_lag06,345,0.000629112
niq_yoy_lag12,345,0.000629112
dpq_yoy_lag13,345,0.000629112
txtq_revtq_lag01,344,0.000627289
rectq_qoq_lag14,344,0.000627289
xsgaq_yoy_lag16,344,0.000627289
lctq_yoy_lag01,343,0.000625465
xintq_yoy_lag07,343,0.000625465
lctq_qoq_lag10,343,0.000625465
dlcq_yoy_lag12,343,0.000625465
nopiq_yoy_lag17,343,0.000625465
capxy_q_yoy_lag19,343,0.000625465
xsgaq_yoy_lag19,343,0.000625465
xoprq_yoy_lag01,342,0.000623641
lltq_yoy_lag09,342,0.000623641
xsgaq_qoq_lag13,342,0.000623641
acoq_atq_lag14,342,0.000623641
rectq_yoy_lag18,342,0.000623641
dlcq_yoy_lag02,341,0.000621818
rectq_yoy_lag04,341,0.000621818
revtq_qoq_lag09,341,0.000621818
xoprq_qoq_lag16,341,0.000621818
oancfy_q_yoy_lag17,341,0.000621818
dpq_qoq_lag02,340,0.000619994
ltq_qoq_lag02,340,0.000619994
xoprq_qoq_lag12,340,0.000619994
atq_qoq_lag14,340,0.000619994
oibdpq_yoy_lag16,340,0.000619994
capxy_q_revtq_lag18,340,0.000619994
nopiq_revtq_lag19,340,0.000619994
dpactq_yoy,339,0.000618171
apq_qoq_lag01,339,0.000618171
