,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
29,0.8,2.0,gbdt,0.8,0.0,1.0,1e-05,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5021502073414222,0.6212673911095752,0.4994432285067005,0.5021502073414222,0.5021502073414222,0.5021502073414222,0.5021502073414222,ok
30,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5999078482567962,1.0,0.6002764658449488,0.5999078482567962,0.5999078482567962,0.5999078482567962,0.5999078482567962,ok
31,0.8,2.0,gbdt,0.8,0.0,1.0,0.001,200.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.525264936261711,0.6737319049264677,0.526897822831471,0.525264936261711,0.525264936261711,0.525264936261711,0.525264936261711,ok
32,0.8,8.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.6078943326677929,0.9997824111405496,0.6045002495872212,0.6078943326677929,0.6078943326677929,0.6078943326677929,0.6078943326677929,ok
33,0.8,5.0,gbdt,0.8,0.0,1.0,0.1,300.0,multi_error,750.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5837045000767931,0.9991168452175249,0.5813462350727643,0.5837045000767931,0.5837045000767931,0.5837045000767931,0.5837045000767931,ok
34,0.8,2.0,gbdt,0.6,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.6027107971125787,1.0,0.6045770456552625,0.6027107971125787,0.6027107971125787,0.6027107971125787,0.6027107971125787,ok
35,0.4,5.0,gbdt,0.8,0.0,0.5,0.0001,200.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,573.0,-0.5010367071110429,0.5623776062665592,0.494105901777829,0.5010367071110429,0.5010367071110429,0.5010367071110429,0.5010367071110429,ok
36,0.8,8.0,gbdt,0.8,0.0,1.0,0.001,300.0,multi_error,750.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.48924896329288897,0.5541348282967912,0.49552662903659334,0.48924896329288897,0.48924896329288897,0.48924896329288897,0.48924896329288897,ok
37,0.8,2.0,gbdt,0.4,0.0,1.0,0.01,300.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,573.0,-0.5743741360774075,0.9197481088968245,0.5786583726913183,0.5743741360774075,0.5743741360774075,0.5743741360774075,0.5743741360774075,ok
38,0.4,5.0,gbdt,0.8,0.0,0.0,0.1,200.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.5805943787436646,0.9991808419408926,0.5727450754521368,0.5805943787436646,0.5805943787436646,0.5805943787436646,0.5805943787436646,ok
39,0.8,2.0,gbdt,0.6,0.0,0.5,1e-05,300.0,multi_error,750.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.3342036553524804,0.3350484455195894,0.32734324002611065,0.3342036553524804,0.3342036553524804,0.3342036553524804,0.3342036553524804,ok
40,0.8,8.0,gbdt,0.8,0.0,0.0,0.1,255.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,475.0,-0.5909230532944248,0.9991168452175249,0.5963982644088622,0.5909230532944248,0.5909230532944248,0.5909230532944248,0.5909230532944248,ok
41,0.4,5.0,gbdt,0.4,0.0,1.0,0.001,300.0,multi_error,250.0,0.05,3.0,200.0,2.0,multiclass,573.0,-0.5072569497773,0.5876435126521522,0.5044733709634067,0.5072569497773,0.5072569497773,0.5072569497773,0.5072569497773,ok
42,0.8,2.0,gbdt,0.8,0.0,0.5,0.01,300.0,multi_error,750.0,0.4,3.0,400.0,2.0,multiclass,709.0,-0.5452311472892029,0.721742246796964,0.5439081519026225,0.5452311472892029,0.5452311472892029,0.5452311472892029,0.5452311472892029,ok
43,0.8,2.0,gbdt,0.6,1.0,0.0,0.0001,255.0,multi_error,250.0,0.2,3.0,300.0,2.0,multiclass,475.0,-0.5195054523114729,0.6483892024728334,0.5166455477479553,0.5195054523114729,0.5195054523114729,0.5195054523114729,0.5195054523114729,ok
44,0.6,5.0,dart,0.4,0.0,1.0,0.1,200.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5825142067270772,0.9939843080034302,0.5809622547325577,0.5825142067270772,0.5825142067270772,0.5825142067270772,0.5825142067270772,ok
45,0.4,2.0,gbdt,0.8,1.0,1.0,0.1,300.0,multi_error,500.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.5518737521118108,0.9403038564425501,0.5532388741696426,0.5518737521118108,0.5518737521118108,0.5518737521118108,0.5518737521118108,ok
46,0.8,8.0,dart,0.6,0.0,0.5,0.0001,255.0,multi_error,750.0,0.4,3.0,300.0,2.0,multiclass,475.0,-0.48544770388573183,0.5344366368441936,0.4829704719118381,0.48544770388573183,0.48544770388573183,0.48544770388573183,0.48544770388573183,ok
