,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
max,chron5,-0.35817941952506605,0.8499173987724692,0.5271408213499158,0.5192061459667093,0.5192061459667093,0.5192061459667093,0.5192061459667093,0.5192061459667093,0.5192061459667093,-0.4684586292993171,0.2794902033044654,0.6418205804749341,0.3496382908804149
count,chron10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron10,-0.471444288653288,0.7422779912627998,0.48676324665161286,0.471444288653288,0.471444288653288,0.471444288653288,0.471444288653288,0.471444288653288,0.471444288653288,-0.6854148326089907,0.20313537009618102,0.5285557113467121,0.29968905346721975
std,chron10,0.03388024101147678,0.057250769569813266,0.015623189419562235,0.03388024101147678,0.03388024101147678,0.03388024101147678,0.033880241011476776,0.033880241011476776,0.033880241011476776,0.2544829682890699,0.03484540736465612,0.03388024101147677,0.02404615394803983
min,chron10,-0.5354381443298969,0.6315427238261884,0.4470899470899471,0.3654353562005277,0.3654353562005277,0.3654353562005277,0.3654353562005277,0.3654353562005277,0.3654353562005277,-1.6330947993886675,0.11377671864877335,0.4645618556701031,0.22331065095233307
25%,chron10,-0.48833873197038946,0.7019517108852014,0.47775288246260056,0.4579668866311073,0.4579668866311073,0.4579668866311073,0.4579668866311073,0.4579668866311073,0.4579668866311073,-0.7307209612064263,0.18832726333567987,0.5116612680296105,0.2936143532614834
50%,chron10,-0.4801722462120468,0.7364243107229234,0.4899485754190709,0.4801722462120468,0.4801722462120468,0.4801722462120468,0.4801722462120468,0.4801722462120468,0.4801722462120468,-0.6708433596067764,0.20975246117536916,0.5198277537879532,0.30433052106578706
75%,chron10,-0.4579668866311073,0.787265956420838,0.49883494639925596,0.48833873197038946,0.48833873197038946,0.48833873197038946,0.48833873197038946,0.48833873197038946,0.48833873197038946,-0.5340207761730889,0.22400161410522657,0.5420331133688927,0.31257114612071085
max,chron10,-0.3654353562005277,0.852380632446475,0.5087457890645245,0.5354381443298969,0.5354381443298969,0.5354381443298969,0.5354381443298969,0.5354381443298969,0.5354381443298969,-0.3818146337455324,0.2641358916252935,0.6345646437994723,0.3333262431823521
count,shuffle1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle1,-0.53171050574885,0.7831254988690205,0.594130468535855,0.53171050574885,0.53171050574885,0.53171050574885,0.53171050574885,0.53171050574885,0.53171050574885,-0.49003385338217065,0.2726685477458032,0.46828949425114985,0.34513493360225755
std,shuffle1,0.0367312037764351,0.05641481093247029,0.01812348961146296,0.0367312037764351,0.0367312037764351,0.0367312037764351,0.0367312037764351,0.0367312037764351,0.0367312037764351,0.10859666681693657,0.050427867037921986,0.036731203776435094,0.03272178521763326
min,shuffle1,-0.6224689745264533,0.6113904697188483,0.5586854460093896,0.4250681198910082,0.4250681198910082,0.4250681198910082,0.4250681198910082,0.4250681198910082,0.4250681198910082,-0.8402081875361991,0.13496020492178207,0.3775310254735467,0.2501014171413527
25%,shuffle1,-0.552052759953849,0.7567396086211192,0.5833039492242595,0.5119299430773661,0.5119299430773661,0.5119299430773661,0.5119299430773661,0.5119299430773661,0.5119299430773661,-0.5615763000972234,0.2574814258335365,0.4479472400461511,0.3392556326555184
50%,shuffle1,-0.5300324871171778,0.8101723151035662,0.5953682212920534,0.5300324871171778,0.5300324871171778,0.5300324871171778,0.5300324871171778,0.5300324871171778,0.5300324871171778,-0.4638380748519987,0.28642833225846476,0.46996751288282235,0.353077737894532
75%,shuffle1,-0.5119299430773661,0.8162923654739944,0.6048128765805776,0.552052759953849,0.552052759953849,0.552052759953849,0.552052759953849,0.552052759953849,0.552052759953849,-0.4106210398832772,0.2989127362999066,0.488070056922634,0.360681135720276
max,shuffle1,-0.4250681198910082,0.8380439888087896,0.6254392129304287,0.6224689745264533,0.6224689745264533,0.6224689745264533,0.6224689745264533,0.6224689745264533,0.6224689745264533,-0.3541784418707417,0.3515712988192552,0.5749318801089919,0.3940606419859532
count,shuffle5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle5,-0.5344778534875105,0.8242056207315434,0.5882725257837714,0.5344778534875105,0.5344778534875105,0.5344778534875105,0.5344778534875105,0.5344778534875105,0.5344778534875105,-0.48940417180653223,0.27651583949887865,0.4655221465124894,0.34766988840640656
std,shuffle5,0.03480303228391955,0.01037344644965642,0.007636829822762192,0.03480303228391955,0.03480303228391955,0.03480303228391955,0.03480303228391955,0.03480303228391955,0.03480303228391955,0.10017600727685515,0.04973909967667499,0.03480303228391955,0.03199477185321968
min,shuffle5,-0.6159372958850424,0.7972947245315177,0.5730800990916598,0.44073569482288827,0.44073569482288827,0.44073569482288827,0.44073569482288827,0.44073569482288827,0.44073569482288827,-0.7835573454365727,0.13255431210109006,0.3840627041149575,0.25032907214680605
25%,shuffle5,-0.5558600083642984,0.8174833298712249,0.5825790463283546,0.5107636033534468,0.5107636033534468,0.5107636033534468,0.5107636033534468,0.5107636033534468,0.5107636033534468,-0.5203148381574758,0.25011787163976407,0.44413999163570167,0.3344321642410336
50%,shuffle5,-0.5357142857142858,0.8229811593381333,0.5880989418721289,0.5357142857142858,0.5357142857142858,0.5357142857142858,0.5357142857142858,0.5357142857142858,0.5357142857142858,-0.46855804510363197,0.2919223262743458,0.4642857142857143,0.3552748193689341
75%,shuffle5,-0.5107636033534468,0.8331803876311786,0.5926799699820992,0.5558600083642984,0.5558600083642984,0.5558600083642984,0.5558600083642984,0.5558600083642984,0.5558600083642984,-0.42509582742567253,0.30775533993574655,0.48923639664655316,0.36734546303163157
max,shuffle5,-0.44073569482288827,0.8441563951884932,0.6058084772370487,0.6159372958850424,0.6159372958850424,0.6159372958850424,0.6159372958850424,0.6159372958850424,0.6159372958850424,-0.3468626358715059,0.35536795323094816,0.5592643051771117,0.3967238752721644
count,shuffle10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle10,-0.5333951930441766,0.8362501001481053,0.585078368738513,0.5333951930441766,0.5333951930441766,0.5333951930441766,0.5333951930441766,0.5333951930441766,0.5333951930441766,-0.49266248049286376,0.27482659988157654,0.4666048069558234,0.3468392562310948
std,shuffle10,0.034427354976825024,0.00984274093227104,0.006015274030868,0.034427354976825024,0.034427354976825024,0.034427354976825024,0.034427354976825024,0.034427354976825024,0.034427354976825024,0.11342768674928591,0.04869168987484366,0.03442735497682501,0.03142796419249577
min,shuffle10,-0.6165904637491836,0.8213635230736785,0.5720244903451523,0.4366485013623978,0.4366485013623978,0.4366485013623978,0.43664850136239786,0.4366485013623978,0.4366485013623978,-0.8562592594644267,0.13495018502704234,0.3834095362508165,0.25164595754386593
25%,shuffle10,-0.5538508937907684,0.8273276103857828,0.5806352519086246,0.5146700614760644,0.5146700614760644,0.5146700614760644,0.5146700614760644,0.5146700614760644,0.5146700614760644,-0.5403023886253595,0.2595105251767066,0.44614910620923165,0.33934637087558406
50%,shuffle10,-0.5367594348630411,0.8339608081754218,0.5857104693922819,0.5367594348630411,0.5367594348630411,0.5367594348630411,0.5367594348630411,0.5367594348630411,0.5367594348630411,-0.4523231749222757,0.27605587231788026,0.463240565136959,0.3496431099196944
75%,shuffle10,-0.5146700614760644,0.8447340688019866,0.5902775724468481,0.5538508937907684,0.5538508937907684,0.5538508937907684,0.5538508937907684,0.5538508937907684,0.5538508937907684,-0.4175063027396044,0.3136362427863021,0.4853299385239356,0.3686963928204502
max,shuffle10,-0.4366485013623978,0.8591447042419074,0.5939912850699488,0.6165904637491836,0.6165904637491836,0.6165904637491836,0.6165904637491836,0.6165904637491836,0.6165904637491836,-0.3120547516224668,0.34979286799758513,0.5633514986376021,0.3936493070429236
